eval_row_id,article_key,gold_epu,disagreement_flag,filler_family,target_position,google/gemini-3.1-pro-preview__long,google/gemini-3.1-pro-preview__medium,google/gemini-3.1-pro-preview__short
Current_1230__fv0__center,Current_1230,0,0,civic_notices,center,1.0,1.0,1.0
Current_1232__fv0__center,Current_1232,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_1233__fv0__center,Current_1233,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1236__fv0__center,Current_1236,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1237__fv0__center,Current_1237,1,0,transit_summaries,center,0.0,1.0,1.0
Current_1246__fv0__center,Current_1246,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1248__fv0__center,Current_1248,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_125__fv0__center,Current_125,1,0,encyclopedia_neutral,center,0.0,1.0,0.0
Current_1260__fv0__center,Current_1260,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1267__fv0__center,Current_1267,0,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1269__fv0__center,Current_1269,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1270__fv0__center,Current_1270,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1271__fv0__center,Current_1271,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_1279__fv0__center,Current_1279,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1285__fv0__center,Current_1285,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1286__fv0__center,Current_1286,1,1,civic_notices,center,0.0,0.0,0.0
Current_128__fv0__center,Current_128,1,1,civic_notices,center,0.0,0.0,0.0
Current_1290__fv0__center,Current_1290,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1301__fv0__center,Current_1301,1,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1307__fv0__center,Current_1307,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1312__fv0__center,Current_1312,1,1,civic_notices,center,1.0,1.0,1.0
Current_1313__fv0__center,Current_1313,1,1,civic_notices,center,1.0,1.0,1.0
Current_1314__fv0__center,Current_1314,0,0,catalog_metadata,center,0.0,1.0,0.0
Current_1318__fv0__center,Current_1318,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1321__fv0__center,Current_1321,1,0,transit_summaries,center,1.0,1.0,1.0
Current_1331__fv0__center,Current_1331,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1332__fv0__center,Current_1332,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1333__fv0__center,Current_1333,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1335__fv0__center,Current_1335,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1337__fv0__center,Current_1337,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1346__fv0__center,Current_1346,0,0,archive_boilerplate,center,0.0,0.0,0.0
Current_134__fv0__center,Current_134,1,1,encyclopedia_neutral,center,1.0,0.0,0.0
Current_1359__fv0__center,Current_1359,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1360__fv0__center,Current_1360,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1362__fv0__center,Current_1362,1,1,catalog_metadata,center,1.0,1.0,0.0
Current_1365__fv0__center,Current_1365,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1367__fv0__center,Current_1367,1,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1372__fv0__center,Current_1372,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1373__fv0__center,Current_1373,0,0,civic_notices,center,1.0,1.0,1.0
Current_1379__fv0__center,Current_1379,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1387__fv0__center,Current_1387,1,0,civic_notices,center,1.0,1.0,1.0
Current_1398__fv0__center,Current_1398,0,0,civic_notices,center,1.0,1.0,1.0
Current_1400__fv0__center,Current_1400,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1403__fv0__center,Current_1403,0,0,civic_notices,center,1.0,1.0,1.0
Current_1405__fv0__center,Current_1405,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1424__fv0__center,Current_1424,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_142__fv0__center,Current_142,0,0,civic_notices,center,1.0,1.0,1.0
Current_1439__fv0__center,Current_1439,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1440__fv0__center,Current_1440,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1443__fv0__center,Current_1443,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1445__fv0__center,Current_1445,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1447__fv0__center,Current_1447,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1448__fv0__center,Current_1448,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1449__fv0__center,Current_1449,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_1452__fv0__center,Current_1452,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_1455__fv0__center,Current_1455,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1456__fv0__center,Current_1456,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1458__fv0__center,Current_1458,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1468__fv0__center,Current_1468,1,0,civic_notices,center,0.0,0.0,0.0
Current_146__fv0__center,Current_146,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1470__fv0__center,Current_1470,1,1,transit_summaries,center,1.0,1.0,1.0
Current_1471__fv0__center,Current_1471,0,0,civic_notices,center,1.0,1.0,1.0
Current_1474__fv0__center,Current_1474,1,0,transit_summaries,center,1.0,0.0,1.0
Current_1485__fv0__center,Current_1485,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1490__fv0__center,Current_1490,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1492__fv0__center,Current_1492,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1493__fv0__center,Current_1493,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1494__fv0__center,Current_1494,1,1,civic_notices,center,0.0,0.0,0.0
Current_1502__fv0__center,Current_1502,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1506__fv0__center,Current_1506,1,1,encyclopedia_neutral,center,1.0,1.0,0.0
Current_1517__fv0__center,Current_1517,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1520__fv0__center,Current_1520,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1528__fv0__center,Current_1528,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1532__fv0__center,Current_1532,1,0,transit_summaries,center,0.0,0.0,0.0
Current_1533__fv0__center,Current_1533,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1539__fv0__center,Current_1539,0,0,transit_summaries,center,1.0,1.0,1.0
Current_153__fv0__center,Current_153,0,0,transit_summaries,center,0.0,0.0,0.0
Current_1541__fv0__center,Current_1541,0,0,civic_notices,center,1.0,1.0,1.0
Current_1549__fv0__center,Current_1549,1,0,encyclopedia_neutral,center,1.0,1.0,0.0
Current_1552__fv0__center,Current_1552,1,0,civic_notices,center,1.0,1.0,1.0
Current_1558__fv0__center,Current_1558,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1560__fv0__center,Current_1560,1,0,civic_notices,center,0.0,0.0,0.0
Current_1561__fv0__center,Current_1561,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1570__fv0__center,Current_1570,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1572__fv0__center,Current_1572,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1578__fv0__center,Current_1578,1,0,transit_summaries,center,1.0,0.0,0.0
Current_157__fv0__center,Current_157,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1585__fv0__center,Current_1585,0,0,civic_notices,center,1.0,1.0,1.0
Current_1588__fv0__center,Current_1588,0,0,civic_notices,center,1.0,1.0,1.0
Current_1599__fv0__center,Current_1599,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_15__fv0__center,Current_15,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1602__fv0__center,Current_1602,0,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1608__fv0__center,Current_1608,1,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1610__fv0__center,Current_1610,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_1616__fv0__center,Current_1616,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_1618__fv0__center,Current_1618,1,1,catalog_metadata,center,0.0,0.0,1.0
Current_1620__fv0__center,Current_1620,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1622__fv0__center,Current_1622,1,0,transit_summaries,center,1.0,1.0,1.0
Current_1627__fv0__center,Current_1627,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1634__fv0__center,Current_1634,1,0,encyclopedia_neutral,center,1.0,0.0,0.0
Current_1636__fv0__center,Current_1636,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1637__fv0__center,Current_1637,0,0,civic_notices,center,1.0,1.0,1.0
Current_1646__fv0__center,Current_1646,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1647__fv0__center,Current_1647,1,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1649__fv0__center,Current_1649,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1650__fv0__center,Current_1650,1,1,civic_notices,center,0.0,0.0,0.0
Current_1655__fv0__center,Current_1655,0,0,civic_notices,center,1.0,1.0,1.0
Current_1661__fv0__center,Current_1661,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1664__fv0__center,Current_1664,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1666__fv0__center,Current_1666,1,0,transit_summaries,center,1.0,1.0,0.0
Current_1667__fv0__center,Current_1667,0,1,transit_summaries,center,1.0,1.0,1.0
Current_1669__fv0__center,Current_1669,0,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1673__fv0__center,Current_1673,1,0,civic_notices,center,1.0,0.0,1.0
Current_1678__fv0__center,Current_1678,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1681__fv0__center,Current_1681,0,1,civic_notices,center,1.0,0.0,0.0
Current_1683__fv0__center,Current_1683,0,1,transit_summaries,center,0.0,0.0,0.0
Current_1691__fv0__center,Current_1691,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_16__fv0__center,Current_16,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1706__fv0__center,Current_1706,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1711__fv0__center,Current_1711,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1716__fv0__center,Current_1716,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1718__fv0__center,Current_1718,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_171__fv0__center,Current_171,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1728__fv0__center,Current_1728,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1730__fv0__center,Current_1730,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1733__fv0__center,Current_1733,1,0,transit_summaries,center,1.0,1.0,1.0
Current_1737__fv0__center,Current_1737,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1741__fv0__center,Current_1741,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1750__fv0__center,Current_1750,0,0,civic_notices,center,1.0,1.0,1.0
Current_1756__fv0__center,Current_1756,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1764__fv0__center,Current_1764,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_176__fv0__center,Current_176,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_1784__fv0__center,Current_1784,1,0,civic_notices,center,0.0,0.0,0.0
Current_1791__fv0__center,Current_1791,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1795__fv0__center,Current_1795,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1804__fv0__center,Current_1804,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1806__fv0__center,Current_1806,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1807__fv0__center,Current_1807,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1823__fv0__center,Current_1823,1,0,transit_summaries,center,1.0,1.0,1.0
Current_1824__fv0__center,Current_1824,1,0,encyclopedia_neutral,center,0.0,1.0,0.0
Current_1827__fv0__center,Current_1827,0,0,civic_notices,center,1.0,1.0,1.0
Current_183__fv0__center,Current_183,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1842__fv0__center,Current_1842,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_184__fv0__center,Current_184,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1851__fv0__center,Current_1851,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1857__fv0__center,Current_1857,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_1861__fv0__center,Current_1861,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1866__fv0__center,Current_1866,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1872__fv0__center,Current_1872,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1877__fv0__center,Current_1877,0,0,civic_notices,center,1.0,1.0,1.0
Current_1882__fv0__center,Current_1882,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1898__fv0__center,Current_1898,0,0,transit_summaries,center,1.0,1.0,1.0
Current_18__fv0__center,Current_18,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1915__fv0__center,Current_1915,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_191__fv0__center,Current_191,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1922__fv0__center,Current_1922,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1932__fv0__center,Current_1932,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1939__fv0__center,Current_1939,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1945__fv0__center,Current_1945,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1951__fv0__center,Current_1951,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1953__fv0__center,Current_1953,1,0,civic_notices,center,0.0,0.0,0.0
Current_1954__fv0__center,Current_1954,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1962__fv0__center,Current_1962,1,0,civic_notices,center,0.0,0.0,0.0
Current_1971__fv0__center,Current_1971,0,0,civic_notices,center,1.0,1.0,1.0
Current_1974__fv0__center,Current_1974,0,0,civic_notices,center,1.0,1.0,1.0
Current_1975__fv0__center,Current_1975,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_1982__fv0__center,Current_1982,1,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1983__fv0__center,Current_1983,1,0,catalog_metadata,center,1.0,0.0,0.0
Current_1989__fv0__center,Current_1989,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1997__fv0__center,Current_1997,1,0,archive_boilerplate,center,0.0,0.0,0.0
Current_199__fv0__center,Current_199,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1__fv0__center,Current_1,0,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_200__fv0__center,Current_200,0,0,civic_notices,center,1.0,1.0,1.0
Current_2010__fv0__center,Current_2010,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_2017__fv0__center,Current_2017,0,0,civic_notices,center,1.0,1.0,1.0
Current_2025__fv0__center,Current_2025,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_2027__fv0__center,Current_2027,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_2029__fv0__center,Current_2029,0,0,civic_notices,center,1.0,0.0,0.0
Current_205__fv0__center,Current_205,0,0,civic_notices,center,1.0,1.0,1.0
Current_226__fv0__center,Current_226,0,0,civic_notices,center,1.0,1.0,1.0
Current_22__fv0__center,Current_22,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_237__fv0__center,Current_237,1,1,civic_notices,center,0.0,0.0,0.0
Current_239__fv0__center,Current_239,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_246__fv0__center,Current_246,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_24__fv0__center,Current_24,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_256__fv0__center,Current_256,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_261__fv0__center,Current_261,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_264__fv0__center,Current_264,1,1,civic_notices,center,1.0,1.0,1.0
Current_270__fv0__center,Current_270,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_272__fv0__center,Current_272,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_273__fv0__center,Current_273,1,1,transit_summaries,center,1.0,1.0,1.0
Current_27__fv0__center,Current_27,0,0,civic_notices,center,1.0,0.0,1.0
Current_284__fv0__center,Current_284,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_289__fv0__center,Current_289,0,0,catalog_metadata,center,1.0,1.0,0.0
Current_292__fv0__center,Current_292,0,1,encyclopedia_neutral,center,0.0,1.0,1.0
Current_297__fv0__center,Current_297,0,0,transit_summaries,center,1.0,1.0,1.0
Current_2__fv0__center,Current_2,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_306__fv0__center,Current_306,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_309__fv0__center,Current_309,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_315__fv0__center,Current_315,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_319__fv0__center,Current_319,1,1,civic_notices,center,0.0,0.0,0.0
Current_320__fv0__center,Current_320,1,0,transit_summaries,center,0.0,0.0,0.0
Current_326__fv0__center,Current_326,1,0,archive_boilerplate,center,1.0,0.0,0.0
Current_32__fv0__center,Current_32,1,1,civic_notices,center,0.0,0.0,0.0
Current_341__fv0__center,Current_341,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_34__fv0__center,Current_34,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_353__fv0__center,Current_353,0,1,transit_summaries,center,1.0,1.0,1.0
Current_363__fv0__center,Current_363,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_371__fv0__center,Current_371,0,0,civic_notices,center,1.0,1.0,1.0
Current_378__fv0__center,Current_378,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_379__fv0__center,Current_379,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_380__fv0__center,Current_380,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_381__fv0__center,Current_381,1,0,transit_summaries,center,1.0,0.0,1.0
Current_38__fv0__center,Current_38,0,0,transit_summaries,center,0.0,0.0,0.0
Current_399__fv0__center,Current_399,0,0,civic_notices,center,1.0,1.0,1.0
Current_411__fv0__center,Current_411,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_414__fv0__center,Current_414,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_430__fv0__center,Current_430,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_437__fv0__center,Current_437,0,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_438__fv0__center,Current_438,0,0,encyclopedia_neutral,center,1.0,0.0,0.0
Current_451__fv0__center,Current_451,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_453__fv0__center,Current_453,1,1,transit_summaries,center,0.0,0.0,0.0
Current_456__fv0__center,Current_456,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_459__fv0__center,Current_459,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_461__fv0__center,Current_461,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_465__fv0__center,Current_465,1,1,transit_summaries,center,1.0,1.0,1.0
Current_480__fv0__center,Current_480,0,0,civic_notices,center,0.0,0.0,0.0
Current_481__fv0__center,Current_481,1,0,transit_summaries,center,0.0,0.0,0.0
Current_486__fv0__center,Current_486,0,0,civic_notices,center,1.0,1.0,1.0
Current_487__fv0__center,Current_487,0,0,civic_notices,center,1.0,1.0,1.0
Current_491__fv0__center,Current_491,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_493__fv0__center,Current_493,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_501__fv0__center,Current_501,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_502__fv0__center,Current_502,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_505__fv0__center,Current_505,0,0,civic_notices,center,1.0,1.0,1.0
Current_50__fv0__center,Current_50,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_510__fv0__center,Current_510,0,0,transit_summaries,center,1.0,1.0,1.0
Current_516__fv0__center,Current_516,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_51__fv0__center,Current_51,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_521__fv0__center,Current_521,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_523__fv0__center,Current_523,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_524__fv0__center,Current_524,1,1,civic_notices,center,0.0,1.0,1.0
Current_526__fv0__center,Current_526,1,0,transit_summaries,center,1.0,1.0,1.0
Current_528__fv0__center,Current_528,1,1,civic_notices,center,0.0,0.0,0.0
Current_530__fv0__center,Current_530,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_534__fv0__center,Current_534,0,0,civic_notices,center,0.0,0.0,0.0
Current_537__fv0__center,Current_537,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_544__fv0__center,Current_544,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_548__fv0__center,Current_548,1,0,civic_notices,center,1.0,1.0,1.0
Current_552__fv0__center,Current_552,0,0,transit_summaries,center,1.0,1.0,1.0
Current_556__fv0__center,Current_556,0,1,archive_boilerplate,center,0.0,0.0,0.0
Current_557__fv0__center,Current_557,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_558__fv0__center,Current_558,0,0,civic_notices,center,1.0,1.0,1.0
Current_55__fv0__center,Current_55,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_560__fv0__center,Current_560,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_562__fv0__center,Current_562,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_564__fv0__center,Current_564,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_575__fv0__center,Current_575,0,0,transit_summaries,center,1.0,1.0,1.0
Current_582__fv0__center,Current_582,0,0,transit_summaries,center,1.0,1.0,1.0
Current_583__fv0__center,Current_583,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_59__fv0__center,Current_59,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_616__fv0__center,Current_616,1,1,catalog_metadata,center,1.0,0.0,1.0
Current_618__fv0__center,Current_618,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_622__fv0__center,Current_622,1,1,transit_summaries,center,0.0,0.0,0.0
Current_628__fv0__center,Current_628,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_629__fv0__center,Current_629,0,0,transit_summaries,center,1.0,1.0,1.0
Current_636__fv0__center,Current_636,1,1,civic_notices,center,0.0,0.0,0.0
