llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,orig_content_len,eval_content_len,was_truncated,condition,bundle,order,condition_kind,requested_task_count,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,parse_status,task_completion_count,completion_share,aux_mean,who_pred,who_correct,who_requested,who_present,actions_pred,actions_correct,actions_requested,actions_present,effects_pred,effects_correct,effects_requested,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_requested,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_requested,mainly_foreign_present
anthropic/claude-sonnet-4-6@default,Current_1196,1,1,MIHB,2007,4790,4790,4790,0,single_focus,,,single,0,1.0,1.0,0.92,Republican leaders in the new Legislature have enthusiastically exhumed the oft-snuffed plan to throw away $60 million of public funds on a Major League Baseball park in South Florida.,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1196,1,1,MIHB,2007,4790,4790,4790,0,single_long_control,,,single_control,0,1.0,1.0,0.92,"Despite forecasts for a tight budget and possible cuts in social services, the needy billionaires of baseball, football, hockey and basketball are finding friends in Tallahassee.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1196,1,1,MIHB,2007,4790,4790,4790,0,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.92,"the remainder of the financing would come from Miami-Dade taxpayers and team owner Jeffrey Loria, though in what proportion is uncertain",0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1196,1,1,MIHB,2007,4790,4790,4790,0,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.85,"At a time when legislators are discussing drastically cutting or even abolishing homeowner property taxes, this guy stands ready to kiss off $540 million in future state revenues.",1,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1953,1,0,MIHB,1999,6864,6864,4989,1,single_focus,,,single,0,1.0,1.0,0.7,"U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... a promise of $300 million in funding - triple what the administration had set aside for Jordan before Hussein's death",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1953,1,0,MIHB,1999,6864,6864,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.72,"is.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1953,1,0,MIHB,1999,6864,6864,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.72,"U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... the U.S. regional interests may not be so easily protected, say analysts who have long studied the region.",0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1953,1,0,MIHB,1999,6864,6864,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.72,"The price of crude oil - the Persian Gulf states' lifeblood - has fallen 55 percent in two years. In Saudi Arabia, the regional power where oil accounts for 75 percent of budget revenues, this means that the entitlement system of free housing, education and health care and guaranteed employment may be a thing of the past.",0,1,ok,5,1.0,0.6,0.0,1.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_733,0,0,MIHB,2009,3957,3957,3957,0,single_focus,,,single,0,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_733,0,0,MIHB,2009,3957,3957,3957,0,single_long_control,,,single_control,0,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_733,0,0,MIHB,2009,3957,3957,3957,0,full_focus_epu_first,full,epu_first,multi,5,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_733,0,0,MIHB,2009,3957,3957,3957,0,full_focus_epu_last,full,epu_last,multi,5,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1975,1,0,NYT,2001,1186,1186,1186,0,single_focus,,,single,0,0.0,0.0,0.7,Worry about Argentina's economic situation helped pull stock prices lower yesterday in Japan,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1975,1,0,NYT,2001,1186,1186,1186,0,single_long_control,,,single_control,0,1.0,1.0,0.62,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1975,1,0,NYT,2001,1186,1186,1186,0,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.82,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,5,1.0,0.8,0.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1975,1,0,NYT,2001,1186,1186,1186,0,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.72,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,5,1.0,0.8,0.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_814,1,1,MIHB,2006,8405,8405,4989,1,single_focus,,,single,0,1.0,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_814,1,1,MIHB,2006,8405,8405,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.72,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_814,1,1,MIHB,2006,8405,8405,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,5,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_814,1,1,MIHB,2006,8405,8405,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1650,1,1,SFC,1998,8181,8181,4989,1,single_focus,,,single,0,0.0,0.0,0.99,"Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1650,1,1,SFC,1998,8181,8181,4989,1,single_long_control,,,single_control,0,0.0,0.0,0.99,"Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra -- and the best thing about the San Francisco Opera production that opened at the War Memorial Opera House Saturday night was finding those key roles in gtod hands.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1650,1,1,SFC,1998,8181,8181,4989,1,full_focus_epu_first,full,epu_first,multi,5,0.0,0.0,0.99,"Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra -- and the best thing about the San Francisco Opera production that opened at the War Memorial Opera House Saturday night was finding those key roles in good hands.",0,1,ok,0,0.0,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0
anthropic/claude-sonnet-4-6@default,Current_1650,1,1,SFC,1998,8181,8181,4989,1,full_focus_epu_last,full,epu_last,multi,5,0.0,0.0,0.99,"Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra -- and the best thing about the San Francisco Opera production that opened at the War Memorial Opera House Saturday night was finding those key roles in gtod hands.",1,1,ok,2,0.4,0.4,,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_1448,0,0,NYT,1992,1409,1409,1409,0,single_focus,,,single,0,1.0,0.0,0.72,"it was 'unlikely' the bank would be able to meet the new, more stringent Federal requirements for capital reserve... If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other regulatory action.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
