llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,single_focus_epu_pred,full_focus_epu_first_epu_pred,full_focus_epu_last_epu_pred,single_focus_focus_excerpt,full_focus_epu_first_focus_excerpt,full_focus_epu_last_focus_excerpt,single_to_last_hurt,first_to_last_hurt
anthropic/claude-sonnet-4-6@default,Current_874,1,1,LAT,2000,1.0,1.0,0,"That caution, in anticipation of political problems related to presidential elections last spring, turned out to be well founded. With Peru's economic doldrums dragging down [Alberto Fujimori]'s popularity, the president's advisors are widely believed to have resorted to dirty tricks to ensure his victory.","That caution, in anticipation of political problems related to presidential elections last spring, turned out to be well founded. With Peru's economic doldrums dragging down Alberto Fujimori's popularity, the president's advisors are widely believed to have resorted to dirty tricks to ensure his victory.","That caution, in anticipation of political problems related to presidential elections last spring, turned out to be well founded. With Peru's economic doldrums dragging down Alberto Fujimori's popularity, the president's advisors are widely believed to have resorted to dirty tricks to ensure his victory.",1,1
anthropic/claude-sonnet-4-6@default,Current_748,1,1,DMNB,2000,1.0,1.0,0,The Federal Election Commission determines which wing receives the $12.5 million in federal funds that Mr. Perot's 1996 candidacy earned for the party.,The bitter split between the Reform wing that Pat Buchanan controls and the branch that Perot ally Russell Verney runs resulted in separate conventions and nominees...won't conclude until the Federal Election Commission determines which wing receives the $12.5 million in federal funds,Their civil war is about both power and beliefs. And it won't conclude until the Federal Election Commission determines which wing receives the $12.5 million in federal funds that Mr. Perot's 1996 candidacy earned for the party.,1,1
anthropic/claude-sonnet-4-6@default,Current_1155,0,1,MIHB,1993,0.0,1.0,1,Everyone lives uptight hoping something will happen,"In the middle is Nicaragua's overwhelmingly poor majority, caught in a day-to-day struggle for survival, and its tiny class of entrepreneurs, unsure of the future, uncertain whether to stick it out or pack up and leave.","In the middle is Nicaragua's overwhelmingly poor majority, caught in a day-to-day struggle for survival, and its tiny class of entrepreneurs, unsure of the future, uncertain whether to stick it out or pack up and leave.",1,0
anthropic/claude-sonnet-4-6@default,Current_1750,0,0,LAT,1988,0.0,1.0,1,"they both agreed on 'the need to avoid trade protectionism,' Reagan said, adding, 'Protectionism would be an economic disaster for both our countries.'","they both agreed on 'the need to avoid trade protectionism,' Reagan said, adding, 'Protectionism would be an economic disaster for both our countries.'","they both agreed on 'the need to avoid trade protectionism,' Reagan said, adding, 'Protectionism would be an economic disaster for both our countries.'",1,0
anthropic/claude-sonnet-4-6@default,Midcentury_2102,0,0,NYT,2004,0.0,1.0,1,"Mexico could be much more competitive and attracting more foreign direct investment with more competitive energy policies, improvements in the legal system, judicial transparency, and tax reform.","Mexico could be much more competitive and attracting more foreign direct investment with more competitive energy policies, improvements in the legal system, judicial transparency, and tax reform.","Mexico could be much more competitive and attracting more foreign direct investment with more competitive energy policies, improvements in the legal system, judicial transparency, and tax reform.",1,0
anthropic/claude-sonnet-4-6@default,Current_1618,1,1,MIHB,1990,0.0,1.0,0,they did not seem to present a bleak enough image to stir any immediate response by the Federal Reserve to relax its credit policy,"At the same time, however, they did not seem to present a bleak enough image to stir any immediate response by the Federal Reserve to relax its credit policy.",they did not seem to present a bleak enough image to stir any immediate response by the Federal Reserve to relax its credit policy,0,1
anthropic/claude-sonnet-4-6@default,Current_1448,1,0,DMNB,2010,0.0,1.0,0,"new soarees of revenue could turn up, either through a new kind of federal stimulus program or through help from the state or regional agencies",Uncertainty about DART's long-range funding makes it nearly impossible to complete the federal application in time to keep the project on schedule,Uncertainty about DART's long-range funding makes it nearly impossible to complete the federal application in time to keep the project on schedule,0,1
anthropic/claude-sonnet-4-6@default,Current_270,0,0,SFC,2007,0.0,1.0,1,Congress is looking at ways to shore up the industry.,"Congress is looking at ways to shore up the industry... anxiety over subprime loans is mounting among economists, Wall Street traders, banking regulators and government officials.",Congress is looking at ways to shore up the industry. Fear about subprime loans was a major catalyst for the stock market swoon this month.,1,0
anthropic/claude-sonnet-4-6@default,Midcentury_1585,0,0,WSJ,1987,0.0,1.0,1,"Uncertainty about the is.S. economy's health, about the outltok for the dollar, and about foreign investors' appetite for American bonds make it especially difficult to forecast interest rates","Uncertainty about the is.S. economy's health, about the outltok for the dollar, and about foreign investors' appetite for American bonds make it especially difficult to forecast interest rates","Uncertainty about the is.S. economy's health, about the outltok for the dollar, and about foreign investors' appetite for American bonds make it especially difficult to forecast interest rates",1,0
anthropic/claude-sonnet-4-6@default,Midcentury_5310,1,0,NYT,1985,0.0,1.0,0,The law that was voided in 1976 tried to bring employees of state and local governments under the same Federal wage and hour standards that protect private workers.,the 5-to-4 margin is precarious and leaves disturbing uncertainties,"The net effect is a welcome return to a sensible federalism, even though the 5-to-4 margin is precarious and leaves disturbing uncertainties.",0,1
anthropic/claude-sonnet-4-6@default,Current_1636,0,0,DMNB,2008,0.0,1.0,1,"most of those wanting to return to Mexico cite the sudden scarcity of jobs, fear of deportation and uncertainty about obtaining legal resident status any time soon",uncertainty about obtaining legal resident status any time soon... fear of deportation and uncertainty about obtaining legal resident status,"most of those wanting to return to Mexico cite the sudden scarcity of jobs, fear of deportation and uncertainty about obtaining legal resident status any time soon",1,0
anthropic/claude-sonnet-4-6@default,Current_453,1,1,LAT,1991,0.0,1.0,0,Croatia and Slovenia both had warned before the unity negotiations that they would secede from Yugoslavia unless a looser relationship among the republics was agreed to before June.,Croatia and Slovenia both had warned before the unity negotiations that they would secede from Yugoslavia unless a ltoser relationship among the republics was agreed to before June.,Croatia and Slovenia both had warned before the unity negotiations that they would secede from Yugoslavia unless a ltoser relationship among the republics was agreed to before June.,0,1
anthropic/claude-sonnet-4-6@default,Current_1784,1,0,NYT,2009,0.0,1.0,0,"China has backed away from some of its riskiest and most aggressive plans, looking for the same guarantees that Western companies have long sought for their investments: economic and political stability.",The political situation is not very stable... explaining the country's hesitation to invest billions in Guinea... The international markets are not favorable.,"China has backed away from some of its riskiest and most aggressive plans, looking for the same guarantees that Western companies have long sought for their investments: economic and political stability.",0,1
anthropic/claude-sonnet-4-6@default,Current_437,0,0,DMNB,2000,0.0,0.0,1,"Campaign Exxon Mobil has had some early stumbles. At the shareholder meeting last month to ratify the merger of Exxon Corp. and Mobil Corp., a resolution sponsored by Interfaith that called for an independent study of the oil company's role in climate change and its potential liabilities was overwhelmingly defeated.",it's grappling with an issue that is by no means clear-cut in its policy solutions,"a June 1997 memo, co-signed by Exxon USA president A.L. Condray and another oil industry executive, which says that Gov. George W. Bush asked the pair to work with state officials to develop 'the concepts of a voluntary program.'",1,1
anthropic/claude-sonnet-4-6@default,Current_89,0,0,LAT,2007,0.0,1.0,1,instructs the Los Angeles County Employees Retirement Assn. to identify companies linked to operations in Sudan and withdraw any investments,"County officials are uncertain if the pension fund has holdings that benefit the Sudanese government, but county staffers are still investigating","County officials are uncertain if the pension fund has holdings that benefit the Sudanese government, but county staffers are still investigating",1,0
anthropic/claude-sonnet-4-6@default,Midcentury_6708,1,0,WPO,1991,0.0,1.0,0,The enormous cloud of uncertainty that has hung over the U.S. economy for the past five months began to dissipate last week when U.S. and allied forces attacked Iraq.,the potential removal of a significant degree of uncertainty which overhangs the world economies,The enormous cloud of uncertainty that has hung over the U.S. economy for the past five months began to dissipate last week when U.S. and allied forces attacked Iraq.,0,1
anthropic/claude-sonnet-4-6@default,Current_1033,1,0,DMNB,2000,1.0,1.0,0,The Federal Election Commission determines which wing receives the $12.5 million in federal funds that Mr. Perot's 1996 candidacy earned for the party.,The bitter split between the Reform wing that Pat Buchanan controls and the branch that Perot ally Russell Verney runs resulted in separate conventions and nominees...the Federal Election Commission determines which wing receives the $12.5 million in federal funds,Their civil war is about both power and beliefs. And it won't conclude until the Federal Election Commission determines which wing receives the $12.5 million in federal funds that Mr. Perot's 1996 candidacy earned for the party.,1,1
anthropic/claude-sonnet-4-6@default,Current_815,0,0,MIHB,2005,0.0,1.0,1,"The results of any 'big bang' are by definition uncertain. Sharon is not just risking his own political future, but that of the entire political system","The results of any 'big bang' are by definition uncertain. Sharon is not just risking his own political future, but that of the entire political system, in a way that could reverberate long after he is no longer on the scene.","The results of any 'big bang' are by definition uncertain. Sharon is not just risking his own political future, but that of the entire political system, in a way that could reverberate long after he is no longer on the scene.",1,0
anthropic/claude-sonnet-4-6@default,Current_946,1,1,SFC,1999,0.0,1.0,0,"electric and natural gas industry prospects brightening due to deregulation, the energy sector is back in the saddle again","electric and natural gas industry prospects brightening due to deregulation, the energy sector is back in the saddle again","crude oil prices up 60 percent this year and electric and natural gas industry prospects brightening due to deregulation, the energy sector is back in the saddle again",0,1
anthropic/claude-sonnet-4-6@default,Midcentury_3550,0,0,NYT,2002,0.0,1.0,1,"The economy grew this winter at its fastest pace in more than two years, the government said yesterday, delivering a clear sign that the recession has ended and that a new expansion has started briskly.",Mr. Greenspan said the Fed planned to keep interest rates low until it was clear the recovery was securely in place.,the federal government gave the economy a big push by increasing military spending at the fastest rate since the Vietnam War,1,0
anthropic/claude-sonnet-4-6@default,Current_1307,1,1,MIHB,1987,0.0,1.0,0,The Federal Housing Administration (FHA) loosened up its buy-down rules for home loans last month.,The Federal Housing Administration (FHA) loosened up its buy-down rules for home loans last month. The National Association of Home Builders is pressuring the nation's two largest mortgage money sources --Fannie Mae and Freddie Mac -- to do the same.,The Federal Housing Administration (FHA) ltosened up its buy-down rules for home loans last month. The National Association of Home Builders is pressuring the nation's two largest mortgage money soarees --Fannie Mae and Freddie Mac -- to do the same.,0,1
anthropic/claude-sonnet-4-6@default,Current_101,0,1,LAT,1996,0.0,1.0,1,"In a hoarse voice that bespoke fragile health, President Boris N. Yeltsin launched a populist campaign for reelection Thursday with attacks on Russia's 'suffocating' Soviet past, part of its new capitalist elite and even corrupt officials in his own administration.","Yeltsin did not say where he would find the money, and some government economists are skeptical that the Kremlin has such reserves.","Yeltsin did not say where he would find the money, and some government economists are skeptical that the Kremlin has such reserves.",1,0
