llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,single_focus_epu_pred,full_focus_epu_first_epu_pred,full_focus_epu_last_epu_pred,single_focus_focus_excerpt,full_focus_epu_first_focus_excerpt,full_focus_epu_last_focus_excerpt,single_to_last_hurt,first_to_last_hurt
deepseek-ai/deepseek-v3.2,Current_1622,1,0,NYT,2010,1,1,0,That is the crushing state and local obligations that can be met only through crushing increases in property and income taxes.,"The Illinois legislature just passed a bill that would compel local entities to pay their share of pension obligations. Chicago's chief financial officer warned that if the governor signed the bill, the city could be forced to raise property taxes 60 percent. And Gov. Pat Quinn, with the support of dozens of legislators, is pushing for an income tax increase.",Washington's unwillingness to make hard budget decisions pales compared with state and local governments'.,1,1
deepseek-ai/deepseek-v3.2,Current_1661,1,0,NYT,1989,0,1,0,"the economic disintegration of recent months -soaring inflation, a collapsed currency, wages at historic lows in terms of spending power, huge fiscal deficits and debts",leaves office on Saturday with his legacy hostage to the country's debilitating economic crisis,leaves office on Saturday with his legacy hostage to the country's debilitating economic crisis,0,1
deepseek-ai/deepseek-v3.2,Current_657,1,1,NYT,1990,0,1,0,Nearly a week of political uncertainty ended today,"Nearly a week of political uncertainty ended today when Chandra Shekhar, the leader of a breakaway faction that helped topple the national coalition Government, was installed as Prime Minister.","Nearly a week of political uncertainty ended today when Chandra Shekhar, the leader of a breakaway faction that helped topple the national coalition Government, was installed as Prime Minister.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_5357,1,0,CHI,1987,0,1,0,Edison plan gets mixed rating: Effect of rate increase on city's economy in dispute,"""the rate freeze would promote certainty over energy costs""","But the question is at what cost, and Edison's price is simply too high.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_5069,1,0,NYT,1997,1,0,0,This undercurrent of uncertainty over how Hong Kongers see them‑selves was reflected in an opinion poll,This undercurrent of uncertainty over how Hong Kongers see themselves,This undercurrent of uncertainty over how Hong Kongers see themselves,1,0
deepseek-ai/deepseek-v3.2,Current_1224,1,0,MIHB,1988,0,1,0,"sharing Boheim's uncertainties about the next 11 months. Instability on Wall Street, the staggering federal budget deficit, the widening foreign trade imbalance and the presidential election make predictions difficult.","Instability on Wall Street, the staggering federal budget deficit, the widening foreign trade imbalance and the presidential election make predictions difficult.","sharing Boheim's uncertainties about the next 11 months. Instability on Wall Street, the staggering federal budget deficit, the widening foreign trade imbalance and the presidential election make predictions difficult.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_6876,0,0,WSJ,1992,1,0,1,spending plans also will be determined by how well President-elect Clinton fares in the first 100 days.,spending plans also will be determined by how well President-elect Clinton fares in the first 100 days.,spending plans also will be deter­mined by how well President-elect Clinton fares in the first 100 days.,0,1
deepseek-ai/deepseek-v3.2,Midcentury_1120,0,0,NYT,2001,0,0,1,"And the continuing violence makes it even harder for the government to focus on economic issues, Mr Propper said",The biggest economic casualty of the violence is the near-moribund tourist trade,Business leaders have called on the government to confront the slump...But Israel's current unity government...is unlikely to take any step that would distress either its right or left flank.,1,1
deepseek-ai/deepseek-v3.2,Current_874,1,1,LAT,2000,0,1,0,"That caution, in anticipation of political problems related to presidential elections last spring, turned out to be well founded.","That caution, in anticipation of political problems related to presidential elections last spring, turned out to be well founded. With Peru's economic doldrums dragging down [Alberto Fujimori]'s popularity, the president's advisors are widely believed to have resorted to dirty tricks to ensure his victory.","I've been trying to find a job, but at my age it's impossible",0,1
deepseek-ai/deepseek-v3.2,Current_1333,1,0,MIHB,1986,1,1,0,"""The most important factor was market nervousness because of the political uncertainty ,"" a government bank soaree, who demanded anonymity, said of the Philippine currency's decline.","""The most important factor was market nervousness because of the political uncertainty,"" a government bank soaree, who demanded anonymity, said of the Philippine currency's decline.","""The most important factor was market nervousness because of the political uncertainty,""",1,1
deepseek-ai/deepseek-v3.2,Current_1983,1,0,DMNB,1998,1,1,0,ease the uncertainty and anguish that make April 15 everyone's least favorite day of the year.,the uncertainty and anguish that make April 15 everyone's least favorite day of the year,ease the uncertainty and anguish that make April 15 everyone's least favorite day of the year,1,1
deepseek-ai/deepseek-v3.2,Current_1474,1,0,DMNB,2003,0,1,0,The region's people deserve a better quality of life and its businesses a more stable and predictable environment in which to invest.,One of the most important solutions to the aforementioned problems is the creation of a unified public transit agency.*The municipalities and counties of North Texas should decide by this time next year to adopt an implementation plan for such an agency.,the federal government likely will freeze highway funds and planning and strictly limit industrial development,0,1
deepseek-ai/deepseek-v3.2,Midcentury_4991,1,0,NYT,1991,0,1,0,"As a result of the war in the Persian Gulf and its aftermath, the isnited States is likely to borrow far less from abroad this year than last.",Long-term trends are highly uncertain,"As a result of the war in the Persian Gulf and its aftermath, the isnited States is likely to borrow far less from abroad this year than last.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_6925,1,0,WPO,1989,1,1,0,"Hong Kong's downside is uncertainty about the future. At midnight on July 1,1997, China will resume sovereignty over the territory, which Britain gained in the 19th century due to its military dominance over the last Chinese imperial dynasty. Concern over whether the Chinese government will run Hong Kong as the British have—with minimal interference in the business sector—has not yet outweighed the colony's advantages to Americans.",Concern over whether the Chinese government will run Hong Kong as the British have—with minimal interference in the business sector,Hong Kong's downside is uncertainty about the future.,1,1
deepseek-ai/deepseek-v3.2,Current_1237,1,0,MIHB,2011,1,1,0,"Martelly's policy toward the Interim Haiti Recovery Commission, the principal U.S.-backed vehicle for reconstruction, is in doubt, following contradictory statements about its future from his team.","Martelly has no government, and the prospects that parliament will approve his choice for prime minister, Daniel Rouzier, are uncertain.","Martelly has no government, and the prospects that parliament will approve his choice for prime minister, Daniel Rouzier, are uncertain.",1,1
deepseek-ai/deepseek-v3.2,Midcentury_1465,0,0,NYT,1997,0,0,1,the distribution of inflation risks skewed to the upside and must remain especially alert to the possible emergence of imbalances,"The unanswered question is why this Insecurity persisted even as the labor market, by all objective measures, tightened considerably","If the F.O.M.C. were to implement such an action, it would be judging that the risks to the economic expansion of waiting longer had increased unduly and had begun to outweigh the advantages of waiting for uncertainties to be reduced",1,1
deepseek-ai/deepseek-v3.2,Midcentury_1259,1,0,LAT,1987,1,1,0,"Another unknown Is how effective the new Immigration law, which penalizes employers for hiring Illegal aliens, will be In stemming Illegal Immigration.","Another unknown Is how effective the new Immigration law, which penalizes employers for hiring Illegal aliens, will be In stemming Illegal Immigration.","Another unknown Is how effective the new Immigration law, which penalizes employers for hiring Illegal aliens, will be In stemming Illegal Immigration.",1,1
deepseek-ai/deepseek-v3.2,Current_848,1,1,DMNB,2002,1,0,0,"more, since Selig continues to insist contraction of two or four teams remains part of his master plan. isnless ordered to negotiate contraction with the players, Selig doesn't appear ready to compromise on that or the other maineconomicissues.",It remains uncertain how many teams will play next season,"It remains uncertain how many teams will play next season, and there is a chance Das' ruling might not clear it up.",1,0
deepseek-ai/deepseek-v3.2,Current_451,1,1,MIHB,1991,1,1,0,Details of the embargo and what it will affect are expected to be announced later this week.,Details of the embargo and what it will affect are expected to be announced later this week.,Nobody knows what tomorrow will bring,1,1
deepseek-ai/deepseek-v3.2,Midcentury_2467,1,0,WSJ,1985,0,1,0,Investors have been especially jittery about the Treasury financing because of uncertainty over the economic outlook.,Investors have been especially jittery about the Treasury financing because of uncertainty over the economic outlook.,Investors have been especially jittery about the Treasury financing because of uncertainty over the economic outlook.,0,1
deepseek-ai/deepseek-v3.2,Current_1578,1,0,LAT,1989,1,1,0,He proposes to take $200 million from funds allocated by Congress to provide educational and other assistance to the 3 million immigrants who are trying to legalize their status through the amnesty program.,How should I respond to the proposal to take funds promised to one group to give to the other?,Sen. Edward M. Kennedy (D-Mass.) has introduced an emergency funding bill to assist the resettlement of an unanticipated surge of refugees from the Soviet Union.,1,1
deepseek-ai/deepseek-v3.2,Current_1549,1,0,LAT,1989,1,1,0,"That amendment, part of a wide-ranging and controversial overhaul of the immigration law, faces an uncertain future.","That amendment, part of a wide-ranging and controversial overhaul of the immigration law, faces an uncertain future.","That amendment, part of a wide-ranging and controversial overhaul of the immigration law, faces an uncertain future.",1,1
deepseek-ai/deepseek-v3.2,Current_1133,1,1,MIHB,2009,1,1,0,"""The truth is, no one really knows how much this plan will cost,""","""The truth is, no one really knows how much this plan will cost,"" said Rep. John Kline, R-Minn.","""The truth is, no one really knows how much this plan will cost,""",1,1
deepseek-ai/deepseek-v3.2,Current_1077,1,1,DMNB,2003,1,1,0,Its impact on next year's budget is uncertain but could contribute to a tax-rate increase that schtol officials say might amount to 6 cents.,Its impact on next year's budget is uncertain but could contribute to a tax-rate increase that schtol officials say might amount to 6 cents.,Its impact on next year's budget is uncertain but could contribute to a tax-rate increase that schtol officials say might amount to 6 cents.,1,1
deepseek-ai/deepseek-v3.2,Current_524,1,1,NYT,1996,1,0,0,they do not accept his trust-me argument that he could do it without saddling them with interest payments on a bigger deficit.,Say Dole and you think tax cuts.,they do not accept his trust-me argument that he could do it without saddling them with interest payments on a bigger deficit.,1,0
deepseek-ai/deepseek-v3.2,Current_1232,1,1,DMNB,2004,1,1,0,"Thursday's decision, although early in the process, could go a long way to shaping the future pocketbtok impact to Texas motorists. The state has encouraged bids that limit the amount of government involvement, but the lack of government-backed financing could raise project costs - and potentially tolls.",But a final route and financing plan could be selected by the end of 2005.,The debate also has exposed rifts between several transportation advocates.,1,1
deepseek-ai/deepseek-v3.2,Current_1784,1,0,NYT,2009,1,0,0,where a junta seized power after the death of the longtime president in December... The political situation is not very stable,"""The political situation is not very stable,"" Huo Zhengde, the Chinese ambassador here, said in an interview, explaining the country's hesitation to invest billions in Guinea",The political situation is not very stable,1,0
deepseek-ai/deepseek-v3.2,Midcentury_5094,1,0,NYT,1988,1,1,0,the worrisome scenarios for the near future include political and economic instability,the worrisome scenarios for the near future include political and economic instability,worrisome scenarios for the near future include political and economic instability,1,1
deepseek-ai/deepseek-v3.2,Current_1051,1,1,DMNB,1999,1,1,0,Russia's parliament frustrated the country's chances of winning crucial foreign loans by defeating a government-supported economic reform bill Thursday. The bill is part of a package of reforms designed to meet conditions for a $4.5 billion loan from the International Monetary Fund.,Russian Duma turns down government's economic plan... The bill is part of a package of reforms designed to meet conditions for a $4.5 billion loan from the International Monetary Fund.,Russian Duma turns down government's economic plan,1,1
deepseek-ai/deepseek-v3.2,Midcentury_4538,0,0,NYT,2000,0,0,1,"Ask Jeffrey Joerres, the chief executive of Manpower Inc., the huge temporary-help agency, whether he can see a slowdown m the economy","Ask Jeffrey Joerres, the chief executive of Manpower Inc., the huge temporary-help agency, whether he can see a slowdown m the economy and he explains that the demand for temporary workers remains strong — except for one group.","Several Fed policy makers have suggested in speeches over the last 10 days that they remain concerned about growth... While the Fed's policy makers may decide to keep short-term interest rates steady at their next meeting, in two weeks, their speeches and comments indicate that another increase is likely — if not in late June, than later in the summer, unless further evidence makes clear that the higher cost of credit is bringing down economic growth enough to damp inflation.",1,1
deepseek-ai/deepseek-v3.2,Midcentury_4357,1,0,NYT,2003,1,1,0,"New regulations on border crossings, intended to protect the nation from terrorism, could throw another wrench into the well-oiled works later this year.","New regulations requiring shippers to notify border officials in advance of freight entering the United States by air, rail and truck — the main channels for just-in-time supply chains — could further unsettle the system.","thanks to economic and geopolitical uncertainty, those practices have become harder to carry out.",1,1
deepseek-ai/deepseek-v3.2,Current_544,1,0,NYT,2002,0,1,0,The governor and legislative leaders refused to release any details about how they planned to make up for a shortfall in tax collections in April that has created a $1.1 billion hole in the state's finances.,The governor and legislative leaders refused to release any details about how they planned to make up for a shortfall in tax collections,refused to release any details about how they planned to make up for a shortfall in tax collections,0,1
deepseek-ai/deepseek-v3.2,Midcentury_8545,1,0,WPO,1988,1,1,0,"the indefinite suspension of all state banking operations by Panama's National Banking Commission, the governmental regulatory agency.","""if Noriega refuses to step down, absolutely the economy is going to be horrible.""","Now, if there's no political solution, if Noriega refuses to step down, absolutely the economy is going to be horrible.",1,1
deepseek-ai/deepseek-v3.2,Current_883,1,1,DMNB,2002,0,1,0,"The Fed shifted its stance on future cuts to ""neutral.""","the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain.","the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_2729,1,0,NYT,1985,0,1,0,What you've got is a lot of conflicting signals without a lot of hard data about where the economy is going.,The Federal Open Market Committee [...] will meet tomorrow in Washington and could decide to ease monetary policy,without a lot of hard data about where the economy is going,0,1
deepseek-ai/deepseek-v3.2,Current_1318,1,0,DMNB,1997,1,1,0,"Many Koreans say they are hopeful the election of a new president will be an important first step toward restoring international confidence. But given the uncertainties raised by the presidential election, financial analysts are far less optimistic.","But given the uncertainties raised by the presidential election, financial analysts are far less optimistic.","But given the uncertainties raised by the presidential election, financial analysts are far less optimistic.",1,1
deepseek-ai/deepseek-v3.2,Current_1468,1,0,SFC,1996,1,1,0,But unclear or nonexistent rules and regulations mean no one in or out of government knows exactly who has the authority to sign off on projects,unclear or nonexistent rules and regulations mean no one in or out of government knows exactly who has the authority to sign off on projects,"Political upheavals, labor unrest, ethnic strife, entrenched corruption and banking and currency crises are all very real -- and growing -- risks of doing business in Asia.",1,1
deepseek-ai/deepseek-v3.2,Midcentury_1780,0,0,NYT,1989,0,1,1,Wheat closed sharply higher on the Chicago Board of Trade as speculation continued on what position the Bush Administration will take on whether to continue subsidized grain sales to foreign countries.,speculation continued on what position the Bush Administration will take on whether to continue subsidized grain sales to foreign countries,speculation continued on what position the Bush Administration will take on whether to continue subsidized grain sales to foreign countries,1,0
